Наименование вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Ссылка на вакансию
"Team Lead команды разработки (Python)",None,None,None,https://hh.ru/vacancy/48563806
"Senior DevOps Engineer",6000.0,9000.0,USD,https://hh.ru/vacancy/48525300
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48190039
"Devops инженер / Junior Devops",70000.0,150000.0,руб.,https://hh.ru/vacancy/48563116
"Преподаватель по Data Science",None,None,None,https://hh.ru/vacancy/47667494
"Data Scientist/Data Analyst",None,None,None,https://hh.ru/vacancy/47586416
"Junior DevOps/Младший системный администратор (SRE)",None,150000.0,руб.,https://hh.ru/vacancy/48029451
"Senior Data Engineer",None,None,None,https://hh.ru/vacancy/45811421
"Application Security Engineer",300000.0,None,руб.,https://hh.ru/vacancy/47882567
"Senior Golang Developer",220000.0,350000.0,руб.,https://hh.ru/vacancy/48186056
"Спикер-преподаватель на онлайн курс "Автоматизированное тестирование ПО на Python"",None,None,None,https://hh.ru/vacancy/48515510
"Senior Data Analyst в Skysmart",220000.0,260000.0,руб.,https://hh.ru/vacancy/46795830
"Разработчик ETL / Data Engineer",None,None,None,https://hh.ru/vacancy/48559350
"Ведущий аналитик Data Scientist",None,None,None,https://hh.ru/vacancy/48502952
"Data engineer",None,None,None,https://hh.ru/vacancy/48520797
"Data Engineer",None,None,None,https://hh.ru/vacancy/48083116
"Data Engineer",None,None,None,https://hh.ru/vacancy/46949347
"Junior DevOps инженер",80000.0,110000.0,руб.,https://hh.ru/vacancy/47776699
"Data analyst",None,None,None,https://hh.ru/vacancy/48368091
"Senior Backend Developer (Robotics, Backend)",250000.0,None,руб.,https://hh.ru/vacancy/45830412
"Middle/Senior Data scientist (департамент SberData)",None,None,None,https://hh.ru/vacancy/48375523
"Senior/Lead Data Analyst",None,None,None,https://hh.ru/vacancy/48306716
"Аналитик данных / Data analyst",None,None,None,https://hh.ru/vacancy/48594399
"Программист C/С++",60000.0,130000.0,руб.,https://hh.ru/vacancy/47733722
"Программист-разработчик (middle developer)",None,None,None,https://hh.ru/vacancy/48536319
"Data Scientist (Отдел исследования данных, департамент SberData)",None,None,None,https://hh.ru/vacancy/47567273
"Data Analyst\Data Scientist",None,None,None,https://hh.ru/vacancy/46949908
"Инженер машинного обучения (Machine Learning Engineer)",None,None,None,https://hh.ru/vacancy/47488001
"QA Automation Engineer",180000.0,270000.0,руб.,https://hh.ru/vacancy/46584281
"Senior С++ Developer",230000.0,None,руб.,https://hh.ru/vacancy/46896438
"Test Automation Engineer",150000.0,None,руб.,https://hh.ru/vacancy/47719291
"Senior/Middle GoLang Developer",150000.0,400000.0,руб.,https://hh.ru/vacancy/47993388
"Junior data analyst",None,None,None,https://hh.ru/vacancy/45603450
"Инженер по автоматизации тестирования",None,None,None,https://hh.ru/vacancy/47846003
"Data analyst",None,None,None,https://hh.ru/vacancy/47891762
"Deep Learning Performance Engineer, HPC",None,None,None,https://hh.ru/vacancy/48048666
"Software tester / QA Engineer",100000.0,None,руб.,https://hh.ru/vacancy/47985898
"Аналитик данных",100000.0,100000.0,руб.,https://hh.ru/vacancy/47910291
"Software Backend Developer (remote)",3000.0,4000.0,USD,https://hh.ru/vacancy/48293784
"Data Analyst в B2B",130000.0,180000.0,руб.,https://hh.ru/vacancy/47688844
"Senior Data Engineer",None,None,None,https://hh.ru/vacancy/48538984
"Автотестировщик QA",220000.0,280000.0,руб.,https://hh.ru/vacancy/48516336
"ML/AI Lead",None,None,None,https://hh.ru/vacancy/47714597
"QA Automation Engineer",None,None,None,https://hh.ru/vacancy/48415950
"Системный администратор Linux/DevOps engineer (remote)",160000.0,250000.0,руб.,https://hh.ru/vacancy/47928791
"Системный администратор Devops",60000.0,150000.0,руб.,https://hh.ru/vacancy/47733848
"QA Automation Engineer",None,None,None,https://hh.ru/vacancy/48304345
"QA Engineer Senior/Middle (удаленно)",None,None,None,https://hh.ru/vacancy/48077787
"Network Engineer",5000.0,8000.0,USD,https://hh.ru/vacancy/48584233
"Research Scientist – Mathematics, Physics, Computer Science",None,None,None,https://hh.ru/vacancy/48595232
"QA Automation Engineer (API)",None,None,None,https://hh.ru/vacancy/48246615
"Специалист по тестированию ПО / QA Engineer",80000.0,None,руб.,https://hh.ru/vacancy/48075482
"Программист-разработчик",None,None,None,https://hh.ru/vacancy/48524527
"DevOps/ Системный администратор",150000.0,350000.0,руб.,https://hh.ru/vacancy/46988536
"Data Scientist RecSys",None,None,None,https://hh.ru/vacancy/47624259
"Разработчик C#/React (Ценовой центр)",300000.0,None,руб.,https://hh.ru/vacancy/48534716
"Data Analyst",None,None,None,https://hh.ru/vacancy/48581090
"Ведущий Data Engineer, Ozon Express",None,None,None,https://hh.ru/vacancy/44158212
"QA Engineer/Тестировщик программного обеспечения",120000.0,None,руб.,https://hh.ru/vacancy/44838687
"Data engineer/Analyst DWH (Автоматизация управленческой отчётности)",None,None,None,https://hh.ru/vacancy/48513621
"CI Engineer",5000.0,None,USD,https://hh.ru/vacancy/39890802
"Методист по Data science",None,None,None,https://hh.ru/vacancy/48236033
"Full-Stack QA Engineer",None,None,None,https://hh.ru/vacancy/44569927
"Инженер-Тестировщик программного обеспечения",None,160000.0,руб.,https://hh.ru/vacancy/48494380
"Full-stack разработчик (back-end node.js)",150000.0,220000.0,руб.,https://hh.ru/vacancy/48434225
"Аналитик в команду аналитического центра",None,None,None,https://hh.ru/vacancy/48253322
"Middle/Senior Data Scientist (NLP)",None,None,None,https://hh.ru/vacancy/47791818
"Software Engineer – QA automation",None,None,None,https://hh.ru/vacancy/48304383
"Quantum Computing Research Engineer",None,None,None,https://hh.ru/vacancy/47697410
"Senior Data Engineer/Data Engineer",None,None,None,https://hh.ru/vacancy/45600818
"Lead QA-инженер (Тестировщик)",200000.0,450000.0,руб.,https://hh.ru/vacancy/47689458
"Лингвист-разработчик",140000.0,None,руб.,https://hh.ru/vacancy/48535218
"DevOps, Ведущий системный администратор",None,150000.0,руб.,https://hh.ru/vacancy/47751478
"Middle QA engineer\ Инженер по тестированию",None,None,None,https://hh.ru/vacancy/47695922
"Разработчик",120000.0,210000.0,руб.,https://hh.ru/vacancy/47846887
"Deep Learning Engineer",None,None,None,https://hh.ru/vacancy/44531061
"AWS DevOps Engineer",None,None,None,https://hh.ru/vacancy/47945919
"Python Team Lead (Content)",None,None,None,https://hh.ru/vacancy/48494590
"Senior Data engineer",None,None,None,https://hh.ru/vacancy/47816981
"Программист-разработчик",130000.0,None,руб.,https://hh.ru/vacancy/47260340
"Data Engineer",None,None,None,https://hh.ru/vacancy/45396149
"Инженер нагрузочного тестирования",None,None,None,https://hh.ru/vacancy/45367482
"DevOps engineer",None,250000.0,руб.,https://hh.ru/vacancy/48574544
"Business Data Engineer / Data Analyst",None,None,None,https://hh.ru/vacancy/47695217
"Разработчик DWH",None,None,None,https://hh.ru/vacancy/47847308
"С++ разработчик (junior)",100000.0,160000.0,руб.,https://hh.ru/vacancy/48126627
"QA Engineer (Backend)",None,None,None,https://hh.ru/vacancy/48477063
"Middle C++ Developer",None,None,None,https://hh.ru/vacancy/48372985
"Middle DevOps Engineer",None,None,None,https://hh.ru/vacancy/47978112
"DevOps Engineer",3000.0,4000.0,EUR,https://hh.ru/vacancy/48468342
"Golang-разработчик",None,None,None,https://hh.ru/vacancy/48294433
"Back-end javascript программист",None,200000.0,руб.,https://hh.ru/vacancy/45987177
"DevOps engineer",None,None,None,https://hh.ru/vacancy/48532571
"Эксперт-преподаватель (Machine Learning)",None,None,None,https://hh.ru/vacancy/48585046
"Программист-разработчик (STM32, C/C++) - автономные роботы и навигация",40000.0,150000.0,руб.,https://hh.ru/vacancy/48585485
"Data Scientist в службу рекомендательных систем и улучшения качества поиска Яндекс.Маркета",None,None,None,https://hh.ru/vacancy/45302142
"Разработчик Go (Clickstream)",None,None,None,https://hh.ru/vacancy/47732598
"Linux инженер",160000.0,220000.0,руб.,https://hh.ru/vacancy/46720704
"Web-аналитик",200000.0,220000.0,руб.,https://hh.ru/vacancy/47848903
"C++ developer - Quantum",None,None,None,https://hh.ru/vacancy/48382985
"Администратор приложения/ DevOps инженер",None,None,None,https://hh.ru/vacancy/48159874
"Go/Golang Developer",4000.0,8000.0,USD,https://hh.ru/vacancy/47808303
"Администратор приложения/ DevOps инженер",None,None,None,https://hh.ru/vacancy/48159874
"Ведущий инженер-программист (математик)",None,None,None,https://hh.ru/vacancy/46318089
"Разработчик C/C++",None,None,None,https://hh.ru/vacancy/40607497
"Инженер-программист",None,None,None,https://hh.ru/vacancy/48208446
"Инженер данных",None,170000.0,руб.,https://hh.ru/vacancy/44920115
"DevOps инженер",None,None,None,https://hh.ru/vacancy/47661620
"Application Developer (Linux)/разработчик прикладных решений (Linux)",None,None,None,https://hh.ru/vacancy/48441067
"DevOps, Ведущий системный администратор",None,150000.0,руб.,https://hh.ru/vacancy/47751478
"Тестировщик (QA engineer)",120000.0,180000.0,руб.,https://hh.ru/vacancy/48376438
"Senior Data Engineer (Remote)",None,None,None,https://hh.ru/vacancy/47776969
"DevOps/ Системный администратор",150000.0,350000.0,руб.,https://hh.ru/vacancy/46988536
"Security engineer",150000.0,300000.0,руб.,https://hh.ru/vacancy/45684011
"Power BI Engineer",None,None,None,https://hh.ru/vacancy/47728504
"DevOps engineer",None,None,None,https://hh.ru/vacancy/48532571
"Разработчик на С#",160000.0,180000.0,руб.,https://hh.ru/vacancy/48476402
"Front-end Developer (Кипр)",3500.0,5500.0,EUR,https://hh.ru/vacancy/47296971
"Аналитик Middle",150000.0,None,руб.,https://hh.ru/vacancy/46442114
"Разработчик интерфейсов (Программист на QT/PyQT)",90000.0,150000.0,руб.,https://hh.ru/vacancy/46889639
"Риск-менеджер (аналитик/эксперт в методологической группе)",None,None,None,https://hh.ru/vacancy/47911662
"DevOps инженер",None,None,None,https://hh.ru/vacancy/47970092
"Product Analyst",None,None,None,https://hh.ru/vacancy/45421287
"Backend developer (PHP, remote)",100000.0,200000.0,руб.,https://hh.ru/vacancy/48191756
"Разработчик в отдел тестирования",150000.0,200000.0,руб.,https://hh.ru/vacancy/47864417
"Analytic trainee (IT и инженерные кейсы) / Стажер аналитик",None,None,None,https://hh.ru/vacancy/47611213
"Hadoop Developer (Главный программист)",None,None,None,https://hh.ru/vacancy/45727302
"DevOps инженер",100000.0,None,руб.,https://hh.ru/vacancy/48486901
"Тестировщик (QA engineer)",120000.0,180000.0,руб.,https://hh.ru/vacancy/48376438
"Разработчик интерфейсов (Программист на QT/PyQT)",90000.0,150000.0,руб.,https://hh.ru/vacancy/46889639
"PHP-программист (Back-end)",180000.0,250000.0,руб.,https://hh.ru/vacancy/44362855
"Ведущий Java разработчик",200000.0,None,руб.,https://hh.ru/vacancy/47299391
"Ведущий инженер по автоматизированному тестированию (frontend)",None,None,None,https://hh.ru/vacancy/47086837
"QA Engineer",None,None,None,https://hh.ru/vacancy/46819473
"Инженер по тестированию (QA engineer)",100000.0,150000.0,руб.,https://hh.ru/vacancy/47889866
"DevOps инженер",None,None,None,https://hh.ru/vacancy/47661620
"Системный администратор с функциями DevOps - инженера",None,None,None,https://hh.ru/vacancy/47928012
"Image Processing/Computer Vision Research Engineer",None,None,None,https://hh.ru/vacancy/47697295
"Senior QA Automation Engineer",None,None,None,https://hh.ru/vacancy/47889184
"Разработчик DWH",None,None,None,https://hh.ru/vacancy/48517101
"QA Automation Engineer",80000.0,150000.0,руб.,https://hh.ru/vacancy/47711759
"Архитектор инфраструктуры big data",None,None,None,https://hh.ru/vacancy/48014452
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48475865
"DevOps-инженер, администратор",190000.0,210000.0,руб.,https://hh.ru/vacancy/48208623
"Middle Quantitative Researcher",None,None,None,https://hh.ru/vacancy/48100101
"Software Engineer/Инженер-программист",200000.0,None,руб.,https://hh.ru/vacancy/48493308
"DevOps специалист",None,None,None,https://hh.ru/vacancy/48382830
"Инженер по тестированию беспилотных транспортных средств",None,None,None,https://hh.ru/vacancy/47167999
"Программист C++/Qt",100000.0,180000.0,руб.,https://hh.ru/vacancy/46004471
"Junior Golang Developer",None,None,None,https://hh.ru/vacancy/48514937
"Старший разработчик C/C++ (PT XDR)",None,None,None,https://hh.ru/vacancy/46736256
"Младший аналитик данных",None,None,None,https://hh.ru/vacancy/48544972
"SQL Аналитик",None,None,None,https://hh.ru/vacancy/48571886
"Преподаватель курса "Data Scientist" в Skypro",None,None,None,https://hh.ru/vacancy/47967383
"Deep Learning Research Engineer (Full-body avatar project)",None,None,None,https://hh.ru/vacancy/48556000
"Инженер по внедрению (DevOps)",None,None,None,https://hh.ru/vacancy/47726880
"Исследователь программного обеспечения",None,None,None,https://hh.ru/vacancy/46574326
"Software Validation Engineer (DevOps, Computer Vision)",None,None,None,https://hh.ru/vacancy/46029878
"Full- Stack разработчик",140000.0,230000.0,руб.,https://hh.ru/vacancy/47845838
"BI Аналитик",None,None,None,https://hh.ru/vacancy/48587677
"QA Engineer/Тестировщик программного обеспечения",None,None,None,https://hh.ru/vacancy/48407180
"Дата-инженер в команду аналитики беспилотных автомобилей",None,None,None,https://hh.ru/vacancy/48024583
"Разработчик Java, PL/SQL",None,None,None,https://hh.ru/vacancy/47141719
"Программист С++",None,None,None,https://hh.ru/vacancy/46455089
"Qlik Sense разработчик",None,None,None,https://hh.ru/vacancy/46732207
"Специалист по машинному обучению/обработке медизображений средствами искусственного интеллекта",None,None,None,https://hh.ru/vacancy/47735357
"Middle/Senior Frontend Developer (3D)",200000.0,320000.0,руб.,https://hh.ru/vacancy/48357391
"SRE/DevOps for Infrastructure Team [Remote]",None,None,None,https://hh.ru/vacancy/45702201
"Backend Developer",None,None,None,https://hh.ru/vacancy/47439094
"Разработчик C/C++ (DPDK-приложения)",90000.0,150000.0,руб.,https://hh.ru/vacancy/48540293
"Junior Golang Developer",None,None,None,https://hh.ru/vacancy/48514937
"QA Automation Engineer (backend/frontend)",None,None,None,https://hh.ru/vacancy/46954523
"Senior С++ developer (self-driving)",None,None,None,https://hh.ru/vacancy/48058143
"Application Developer Big Data",None,None,None,https://hh.ru/vacancy/48415474
"Senior Test Automation Engineer",None,None,None,https://hh.ru/vacancy/48577035
"Ведущий инженер по тестированию мобильных приложений",None,None,None,https://hh.ru/vacancy/46745064
"Lead Data Scientist (technical product manager)",None,None,None,https://hh.ru/vacancy/46527058
"Продуктовый аналитик (team lead)",None,None,None,https://hh.ru/vacancy/48103826
"Системный администратор Linux / Kubernetes (Middle DevOps инженер), удалённо",None,None,None,https://hh.ru/vacancy/48094229
"DevOps инженер",None,None,None,https://hh.ru/vacancy/47908798
"Linux senior Embedded/R&D Developer/старший разработчик для встраиваемых систем (Linux)",None,None,None,https://hh.ru/vacancy/48442401
"BI Analyst / BI Аналитик",120000.0,150000.0,руб.,https://hh.ru/vacancy/48477583
"Graph Computing Research Engineer",None,None,None,https://hh.ru/vacancy/47697437
"Team Lead Machine Learning",None,None,None,https://hh.ru/vacancy/48382151
"Senior QA Engineer",None,None,None,https://hh.ru/vacancy/47378529
"QA Automation Engineer",None,None,None,https://hh.ru/vacancy/41178269
"Архитектор инфраструктуры big data",None,None,None,https://hh.ru/vacancy/48014452
"Инженер по внедрению (DevOps)",None,None,None,https://hh.ru/vacancy/47726880
"Разработчик поискового ядра C++",None,None,None,https://hh.ru/vacancy/48585435
"DevOps инженер (ELK)",None,None,None,https://hh.ru/vacancy/48582748
"Software developer C++ (Программист С++)",None,None,None,https://hh.ru/vacancy/48560961
"Инженер по нагрузочному тестированию (Middle, Senior)",None,None,None,https://hh.ru/vacancy/47126906
"Fullstack developer / Teamlead",280000.0,380000.0,руб.,https://hh.ru/vacancy/48540664
"Deep Learning Leading Research Engineer (3D computer vision project)",None,None,None,https://hh.ru/vacancy/48555839
"Bare-Metal разработчик",None,None,None,https://hh.ru/vacancy/48524579
"Senior Node.js Developer",220000.0,350000.0,руб.,https://hh.ru/vacancy/43856261
"DevOps engineer Windows / Linux",None,None,None,https://hh.ru/vacancy/48158116
"Руководитель отдела углубленной аналитики (Data Science)",None,None,None,https://hh.ru/vacancy/46193714
"Математик-программист (руководитель группы)",None,None,None,https://hh.ru/vacancy/48084611
"Старший разработчик C/C++ (PT XDR)",None,None,None,https://hh.ru/vacancy/46736256
"Data scientist/разработка моделей оценки кредитного риска для клиентов малого и среднего бизнеса",None,None,None,https://hh.ru/vacancy/43694876
"Аналитик клиентского опыта / аналитик-исследователь клиентского опыта /CX Researcher /",None,None,None,https://hh.ru/vacancy/48216623
"Senior QA Automation Engineer",None,None,None,https://hh.ru/vacancy/46860961
"DevOps-инженер",None,None,None,https://hh.ru/vacancy/48532629
"DevOps engineer - CTT",None,None,None,https://hh.ru/vacancy/48347117
"Аналитик",None,46000.0,руб.,https://hh.ru/vacancy/48344619
"SRE/DevOps for Infrastructure Team [Remote]",None,None,None,https://hh.ru/vacancy/45702201
"DevOps в data-команду путешествий",None,None,None,https://hh.ru/vacancy/47710465
"Биостатистик / Biostatistician",None,None,None,https://hh.ru/vacancy/47826698
"Специалист по машинному обучению/обработке медизображений средствами искусственного интеллекта",None,None,None,https://hh.ru/vacancy/47735357
"QA Automation",None,None,None,https://hh.ru/vacancy/48503184
"Главный аналитик данных",None,None,None,https://hh.ru/vacancy/48296858
"Backend Engineer",150000.0,None,руб.,https://hh.ru/vacancy/48270242
"QA Automation Engineer",None,None,None,https://hh.ru/vacancy/41178269
"Аналитик",125000.0,None,руб.,https://hh.ru/vacancy/47399916
"IOS разработчик (удалённо)",None,250000.0,руб.,https://hh.ru/vacancy/48532577
"Web-разработчик (fullstack)",150000.0,None,руб.,https://hh.ru/vacancy/45772929
"Analyst BI",120000.0,150000.0,руб.,https://hh.ru/vacancy/48535860
"Аналитик SQL",None,None,None,https://hh.ru/vacancy/47077681
"C# Developer (ASP.NET)",200000.0,None,руб.,https://hh.ru/vacancy/44711980
"Инженер по нейросетям / ML Engineer",None,None,None,https://hh.ru/vacancy/48220520
"Инженер по обеспечению качества (тестировщик)",2000.0,3000.0,USD,https://hh.ru/vacancy/48045419
"Middle Quantitative Researcher",None,None,None,https://hh.ru/vacancy/48100101
"Senior Linux administrator/Linux Engineer",None,None,None,https://hh.ru/vacancy/45422000
"Devops Engineer",None,None,None,https://hh.ru/vacancy/48477262
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48399927
"WebGL Engineer",None,None,None,https://hh.ru/vacancy/45680491
"DevOps в продуктовую команду",None,None,None,https://hh.ru/vacancy/46226143
"ETL-разработчик данных в Такси",None,None,None,https://hh.ru/vacancy/48588766
"PHP developer (insurance startup)",120000.0,None,руб.,https://hh.ru/vacancy/48051397
"Аналитик",125000.0,None,руб.,https://hh.ru/vacancy/47399916
"DevOps Lead",None,None,None,https://hh.ru/vacancy/47357970
"DevOps в data-команду путешествий",None,None,None,https://hh.ru/vacancy/47710465
"Fullstack developer",150000.0,None,руб.,https://hh.ru/vacancy/48302367
"Data Science Specialist / Business Analyst",None,None,None,https://hh.ru/vacancy/48523600
"QA manual",80000.0,120000.0,руб.,https://hh.ru/vacancy/47916985
"Разработчик на Си для embedded",120000.0,150000.0,руб.,https://hh.ru/vacancy/47775639
"Ведущий инженер-разработчик C/C++ (Network OS)",None,None,None,https://hh.ru/vacancy/48585647
"Senior QA Engineer",None,None,None,https://hh.ru/vacancy/42708753
"Продуктовый аналитик/Product analyst",None,None,None,https://hh.ru/vacancy/48177561
"QA Engineer/Тестировщик программного обеспечения",None,None,None,https://hh.ru/vacancy/48407180
"Руководитель группы Data scientist, Ozon Express",None,None,None,https://hh.ru/vacancy/45628833
"PHP-программист",50000.0,110000.0,руб.,https://hh.ru/vacancy/47777470
"С++ разработчик",None,None,None,https://hh.ru/vacancy/48548360
"Антифрод-аналитик",None,None,None,https://hh.ru/vacancy/46598629
"QA Engineer (SberDevices)",None,None,None,https://hh.ru/vacancy/48545632
"DevOps engineer (Gamedev)",None,None,None,https://hh.ru/vacancy/48569706
"Qa engineer (middle/middle+)",140000.0,None,руб.,https://hh.ru/vacancy/48442338
"Аналитик",None,None,None,https://hh.ru/vacancy/48199186
"DevOps консультант / DevOps разработчик",None,None,None,https://hh.ru/vacancy/48541455
"Инженер по нейросетям / ML Engineer",None,None,None,https://hh.ru/vacancy/48220520
"Frontend / JavaScript разработчик",160000.0,None,руб.,https://hh.ru/vacancy/48134672
"Разработчик Qlik Sense (удаленно)",None,None,None,https://hh.ru/vacancy/45630860
"DevOps (SRE)",None,None,None,https://hh.ru/vacancy/46458982
"Product analyst",None,None,None,https://hh.ru/vacancy/48502385
"Lead QA Engineer",None,None,None,https://hh.ru/vacancy/48549628
"Программист ETL",None,None,None,https://hh.ru/vacancy/48547327
"C++ Developer (Devices team)",None,None,None,https://hh.ru/vacancy/45344323
"DevOps Engineer (Rapid Prototyping)",None,None,None,https://hh.ru/vacancy/47483091
"DevOps-инженер/ Системный администратор",100000.0,None,руб.,https://hh.ru/vacancy/47756740
"DevOps Engineer Middle+/Senior",None,None,None,https://hh.ru/vacancy/44887689
"Аналитик BI",150000.0,None,руб.,https://hh.ru/vacancy/45653635
"Senior backend developer (ML Space AI Cloud)",None,None,None,https://hh.ru/vacancy/47722267
"Ведущий разработчик хранилищ данных DWH/ETL (можно удаленно)",None,None,None,https://hh.ru/vacancy/47987794
"Data Architect",None,None,None,https://hh.ru/vacancy/48412135
"Продуктовый аналитик",120000.0,None,руб.,https://hh.ru/vacancy/48339062
"Программист C/C++/C#",None,None,None,https://hh.ru/vacancy/48437641
"Senior/Middle Software developer in Test",None,None,None,https://hh.ru/vacancy/46955768
"System Analyst",None,None,None,https://hh.ru/vacancy/47979702
"Devops / SRE-инженер",None,None,None,https://hh.ru/vacancy/46914840
"Разработчик Rust",None,None,None,https://hh.ru/vacancy/47674989
"QA Engineer",None,None,None,https://hh.ru/vacancy/48494095
"Инженер по автоматическому тестированию (QA Automation)",None,None,None,https://hh.ru/vacancy/43716955
"Аналитик по работе с данными",None,None,None,https://hh.ru/vacancy/47670526
"Старший веб-аналитик",None,None,None,https://hh.ru/vacancy/48009340
"Team Lead (C++ / ML)",None,None,None,https://hh.ru/vacancy/46477374
"DevOps Team Lead",None,None,None,https://hh.ru/vacancy/48563252
"Аналитик данных / Аналитик PowerBI",None,None,None,https://hh.ru/vacancy/48493857
"Senior Kernel Developer - KernelCare [Remote]",None,None,None,https://hh.ru/vacancy/45770028
"Младший системный администратор / devops-инженер",None,None,None,https://hh.ru/vacancy/45620435
"Аналитик",None,None,None,https://hh.ru/vacancy/48489002
"Инженер по внедрению и техподдержке телекоммуникационного биллинга",None,150000.0,руб.,https://hh.ru/vacancy/47449608
"Инженер по автоматизации тестирования, Рекламная платформа",None,None,None,https://hh.ru/vacancy/46298644
"Database Analyst / Panel Management Analyst",None,None,None,https://hh.ru/vacancy/48486473
"Senior Scala Developer / Scala Developer",None,None,None,https://hh.ru/vacancy/38122854
"Экономист-математик (исследование отраслевых рынков)",70000.0,140000.0,руб.,https://hh.ru/vacancy/48142384
"DevOps specialist - FX4Cash",None,None,None,https://hh.ru/vacancy/48374087
"Системный архитектор",None,400000.0,руб.,https://hh.ru/vacancy/47956851
"Биоинформатик",None,None,None,https://hh.ru/vacancy/47953191
"Преподаватель по программированию в онлайн-школу",None,75000.0,руб.,https://hh.ru/vacancy/48309143
"Разработчик / Старший разработчик направления Antifraud-решений",None,None,None,https://hh.ru/vacancy/44329609
"Developer C/C++",None,None,None,https://hh.ru/vacancy/42693005
"DevOps Engineer",None,None,None,https://hh.ru/vacancy/45496587
"Senior PHP Developer",None,None,None,https://hh.ru/vacancy/44631235
"Automation QA specialist",None,None,None,https://hh.ru/vacancy/48491288
"Программист Yii2",None,None,None,https://hh.ru/vacancy/48594098
"Java developer (Strong Middle)",None,None,None,https://hh.ru/vacancy/48245091
"Ведущий инженер эксперт по сопровождению инфраструктурных сервисов (SRE engineer / DevOps Engineer)",None,None,None,https://hh.ru/vacancy/46474144
"Специалист по тестированию ПО",None,None,None,https://hh.ru/vacancy/41758235
"Бизнес-аналитик sql",None,None,None,https://hh.ru/vacancy/48174567
"Quality Assurance Engineer",100000.0,None,руб.,https://hh.ru/vacancy/48070525
"Junior DevOps Инженер",None,None,None,https://hh.ru/vacancy/48470028
"Программист",50000.0,120000.0,руб.,https://hh.ru/vacancy/48143974
"Системный администратор Linux",None,None,None,https://hh.ru/vacancy/48336107
"Middle / Senior java-developer",None,None,None,https://hh.ru/vacancy/48447818
"DevOps engineer",None,None,None,https://hh.ru/vacancy/48494429
"Junior RPA Developer",None,400.0,USD,https://hh.ru/vacancy/48494116
"Аналитик данных",None,None,None,https://hh.ru/vacancy/44665118
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48532429
"Аналитик SQL",None,None,None,https://hh.ru/vacancy/48220813
"DevOps-Инженер",None,None,None,https://hh.ru/vacancy/46546723
"Аналитик продукта",None,None,None,https://hh.ru/vacancy/48549269
"Analyst BI",120000.0,150000.0,руб.,https://hh.ru/vacancy/48535860
"Аналитик BI / DWH",None,None,None,https://hh.ru/vacancy/44191361
"Senior/Middle QA инженер",None,None,None,https://hh.ru/vacancy/47101486
"Regular/Senior DWH/ETL developer",None,None,None,https://hh.ru/vacancy/46969581
"Lead Data Analytics в Operation",None,None,None,https://hh.ru/vacancy/48055033
"Developer Fullstack Platform Ops",None,None,None,https://hh.ru/vacancy/48500677
"Специалист по анализу защищённости / пентестер в Инфосекьюрити",None,None,None,https://hh.ru/vacancy/48055366
"Старший аналитик, Data Science",None,None,None,https://hh.ru/vacancy/45482422
"WEB-аналитик",None,None,None,https://hh.ru/vacancy/47860222
"Data engineer [Oil & Gas] - Trainee",None,None,None,https://hh.ru/vacancy/48561131
"Аналитик (Lead / Senior)",None,None,None,https://hh.ru/vacancy/43485154
"Биоинформатик",None,200000.0,руб.,https://hh.ru/vacancy/46447357
"C/C++ Developer",None,None,None,https://hh.ru/vacancy/32569325
"Manual QA Engineer",None,None,None,https://hh.ru/vacancy/46863159
"Инженер по нагрузочному тестированию (проект SberID)",None,None,None,https://hh.ru/vacancy/46913002
"Разработчик облачного хранилища (Go)",None,None,None,https://hh.ru/vacancy/43522324
"Преподаватель по программированию для детей и подростков",None,None,None,https://hh.ru/vacancy/48537024
"Embedded разработчик системы тестирования лидаров в Беспилотные автомобили",None,None,None,https://hh.ru/vacancy/46351138
"Аналитик BI",None,None,None,https://hh.ru/vacancy/47123393
"Бизнес-аналитик",80000.0,None,руб.,https://hh.ru/vacancy/48093947
"C# Developer",None,None,None,https://hh.ru/vacancy/45492012
"С++ Developer",None,None,None,https://hh.ru/vacancy/48420350
"JavaScript - разработчик (ExtJS)",None,None,None,https://hh.ru/vacancy/46338951
"Senior DevOps инженер",None,None,None,https://hh.ru/vacancy/48223159
"Системный аналитик",150000.0,None,руб.,https://hh.ru/vacancy/46711933
"CV Engineer",160000.0,None,руб.,https://hh.ru/vacancy/48581063
"Младший CRM - аналитик",None,130000.0,руб.,https://hh.ru/vacancy/48475338
"Программист С++/С++ Developer",None,None,None,https://hh.ru/vacancy/48500139
"Release engineer",180000.0,None,руб.,https://hh.ru/vacancy/48340801
"Инженер по нагрузочному тестированию (проект SberID)",None,None,None,https://hh.ru/vacancy/48495373
"DevOps / SRE",None,None,None,https://hh.ru/vacancy/47008403
"Middle+ Go-разработчик в Infrastructure & Operations",None,None,None,https://hh.ru/vacancy/48465877
"Системный администратор Linux / DevOps инженер",None,None,None,https://hh.ru/vacancy/42922388
"Старший разработчик интерфейсов",None,None,None,https://hh.ru/vacancy/48514397
"Аналитик базы данных",115000.0,115000.0,руб.,https://hh.ru/vacancy/47693801
"Linux System Engineer",None,None,None,https://hh.ru/vacancy/48488098
